Key;English;Spanish;German;Polish;French;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
CHO;Choshu;x;
SAT;Satsuma;x;
SHJ;Shogunate Japan;x;
IMJ;Imperial Japan;x;
KAG;Kaga;x;
YON;Yonezawa;x;
SEN;Sendai;x;
ETH;Abyssinia;x;
SNG;Songhai;x;
SNG_empire;The Songhai Empire;x;
GON;Eritrea;x;
GON_absolute_monarchy_2;Gonder;x;
KON;Democratic Republic of the Congo;x;
MAD_absolute_monarchy_2;Merina Kingdom;x;
MAD;Madagascar;x;
KON_absolute_monarchy_2;Kongo;x;
LOA;Congo;x;
LOA_absolute_monarchy_2;Loango;x;
SOK;Nigeria;x;
SOK_absolute_monarchy_2;Sokoto;x;
DND;Togo;x;
DND_absolute_monarchy_2;Dendi;x;
MOS;Burkina Faso;x;
MOS_absolute_monarchy_2;Mossi;x;
MAS;Mali;x;
MAS_absolute_monarchy_2;Massina;x;
HAR;Uganda;x;
HAR_absolute_monarchy_2;Harar;x;
SHW;Kenya;x;
SHW_absolute_monarchy_2;Shewa;x;
KAB;Gabon;x;
KAB_absolute_monarchy_2;Bornu;x;
OYO;Chad;x;
OYO_absolute_monarchy_2;Oyo;x;
DAH;Benin;x;
DAH_absolute_monarchy_2;Dahomey;x;
ASH;Ghana;x;
ASH_absolute_monarchy_2;Ashanti;x;
FUT;Mauritania;x;
FUT_absolute_monarchy_2;Futa Toro;x;
FUJ;Guinea;x;
FUJ_absolute_monarchy_2;Futa Djallon;x;
KNG;Cote D'Ivoire;x;
KNG_absolute_monarchy_2;Kong;x
BAM;Sierra Leone;x;
BAM_absolute_monarchy_2;Bamana;x;
TUE;Tukulor Empire;x;
LUN;Angola;x;
LUN_absolute_monarchy_2;Lunda;x;
ARO;Central African Republic;x;
ARO_absolute_monarchy_2;Aro;x;
WOL;Senegal;x;
WOL_absolute_monarchy_2;Wolof;x;
GBU;Guinea-Bissau;x;
GBU_absolute_monarchy_2;Gabu;x;
WRS;Somalia;x;
WRS_absolute_monarchy_2;Warsangali;x;
MAJ;Malawi;x;
MAJ_absolute_monarchy_2;Majeerteen;x;
ZAN;Tanzania;x;
ZAN_absolute_monarchy_2;Zanzibar;x;
ORA;Namibia;x;
ORA_absolute_monarchy_2;Oranje;x;
ZUL;Botswana;x;
ZUL_absolute_monarchy_2;Zulu;x;
TRN;Zimbabwe;x;
TRN_absolute_monarchy_2;Transvaal;x;
GEL;Mozambique;x;
GEL_absolute_monarchy_2;Geledi;x;
BEN;Cameroon;x;
BEN_absolute_monarchy_2;Benin;x;
CLB;Zambia;x;
CLB_absolute_monarchy_2;Calabar;x;
DAM;Niger;x;
DAM_absolute_monarchy_2;Damagaran;x;
TRI;Libya;x;
