Key;English;Spanish;German;Polish;French;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
japanese_unification_decision_desc;After decades of progressive loss of the power of the emperor, we can decide to make a civil war after the coronation of the new emperor Meiji, who will be the first true emperor in the history of Japan. We can finally kick the shoguns out of our mighty and prosperous nation...;x;
japanese_unification_decision_title;Overthrow the Bakufu;x;
annex_korea_title;Annex Korea;x;
annex_korea_desc;The Joseon Dynasty is close to our island territory, which has led us to create a plan to annex the Korean peninsula... The different countries around Korea do not agree with our expansion policy in Asia. That is why we must take a few precautions;x;
hokkaido_question_title;The Hokkaido Question;x;
hokkaido_question_desc;The local population of Hokkaido is not totally Japanese, this has led us to think about a possible reform in our cultural policies, since the only peoples accepted in our nation are those who have totally Japanese culture... This reform will make starting henceforth the ainu culture is also an accepted culture;x;
form_iberia_title;Form Iberia;x;
form_iberia_desc;The unification attempts between the two existing nations in the Iberian Peninsula have led us to think about a possible Iberian union, which would make the two countries stronger by uniting them into one. Making it a comparable union with countries like Germany, Russia, Austria, France... Glory to the new Iberian Union!;x;
the_iberian_lands_title;The Iberian Lands;x;
the_iberian_lands_desc;The Iberian Union was formed and to commemorate it, we can claim our territories throughout the peninsula and finally become a true union of the Iberian Peninsula, as we will recover our nuclei throughout our national territory... The different countries that occupy the territories, they will lose diplomatic relations with us.;x;
sign_the_oregon_treaty_title;Oregon Treaty;x;
sign_the_oregon_treaty_desc;In recent years, the Oregon region has been disputed between us and the United States of America. For this reason, as in previous treaties, we must define clear provinces in North America and of course get along with our friends the United States, once good borders will be defined...;x;
expedition_to_algeria_title;Expedition to Algeria;x;
expedition_to_algeria_desc;The African kingdom of Algeria has been a problem for us in our expansion through Africa, mainly due to its insane amount of mountains and rivers that impeded our advance... To compensate for that, we can send some settlers and we will see what happens with the future of the North African kingdom.;x;
colonize_algeria_title;Establish the Protectorate of Algeria;x;
colonize_algeria_desc;The African kingdom of Algeria has been a problem for us in our expansion through Africa, mainly due to its insane amount of mountains and rivers that impeded our advance... That is why, after sending our best settlers, we will be able to annex the kingdom that resisted us so much. has put in our imperialism for Africa...;x;
the_gabon_protectorate_title;The Gabon Protectorate;x;
the_gabon_protectorate_desc;Our various colonies in Africa have been very effective in raising money for the French state. For what has led us to think of a possible new settlement in the region of Gabon, in West Africa, this will leave us one step closer to a better colonization of the interior of the continent.;x;
unite_italy_title;Unite Italy;x;
unite_italy_desc;The Italian states, after many years, are in a single sphere of influence, ours, that once we have all their states under our control, we will be able to form the Pope's Italy, making Catholicism a great empire that will lead alongside ours, peace to the world... The papacy will thank us for this definitive union to give us Savoy and the city of Nice.;x;
claim_lombardia_title;Intervention in Lombardy;x;
claim_lombardia_desc;By establishing a dominant position on the Italian peninsula, we can secure a national homeland for our people by proclaiming ourselves the motive power of a unified Italian state. So, we can claim Lombardia to form the Kingdom of Italy;x;
the_papal_reforms_title;The Papal Reforms;x;
the_papal_reforms_desc;The unification of Italy by the French, and the leadership by the Pope of our country, has made it possible for us to carry out prestigious reforms that will help Italy's future as a power in the Mediterranean. We owe all this thanks to the mighty French empire, which has helped us unify. Three cheers for the Pope!;x;
the_saharan_lands_title;The Saharan Lands;x;
the_saharan_lands_desc;In the terms of the Africa Conference, we have so countries to colonize them, so after the fall of some african minors, we can expand our territory in africa, starting in our first protectorate, the most part of africa will be our soon...Our empire is a colonial nation again!;x;
claim_the_rif_title;Claim the Moroccan Al Rif;x;
claim_the_rif_desc;In the terms of the Africa Conference, we have so countries to colonize them, so after the fall of some african minors, we can expand our territory in africa, starting in our first protectorate, the most part of africa will be our soon...Our empire is a colonial nation again!;x;
claim_the_western_sahara_title;Claim Western Sahara territories;x;
claim_the_western_sahara_desc;In the terms of the Africa Conference, we have so countries to colonize them, so after the fall of some african minors, we can expand our territory in africa, starting in our first protectorate, the most part of africa will be our soon...Our empire is a colonial nation again!;x;
establish_the_moroccan_protectorate_title;Establish the Moroccan Protectorate;x;
establish_the_moroccan_protectorate_desc;In the terms of the Africa Conference, we have so countries to colonize them, so after the fall of some african minors, we can expand our territory in africa, starting in our first protectorate, the most part of africa will be our soon...Our empire is a colonial nation again!;x;
shanghai_treaty_port_title;Claim Shangai;x;
