Key;English;Spanish;German;Polish;French;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME50000;The Meiji Emperor Coronation;x;
EVTDESC50000;The new Meiji emperor has been crowned in a ceremony today, this will give us a free pass to a new imperial japan and a decline for the current shogun and the following successors, long live the new emperor of our prosperous and valuable empire;x;
EVTOPTA50000;Long live the new Emperor!;x;
EVTNAME50001;The Meiji Rebellion;x;
EVTDESC50001;The instability in the different regions of our glorious empire has led us to a civil war, on the one hand there are those who support the side of Emperor Meiji and on the other hand those who support the current shogun... Our duty is to position ourselves with one of the two and lead Japan to glory;x;
EVTOPTA50001;We support the Emperor;x;
EVTOPTB50001;We support the Shogun;x;
EVTOPTA50003;Long live the Shogun!;x;
EVTOPTA50002;Long live the Emperor!;x;
EVTNAME50002;The Meiji Rebellion;x;
EVTDESC50002;The instability in the different regions of our glorious empire has led us to a civil war, on the one hand there are those who support the side of Emperor Meiji and on the other hand those who support the current shogun... Our duty is to position ourselves with one of the two and lead Japan to glory;x;
EVTNAME50004;The Fall of Edo;x;
EVTDESC50004;After the fall of Edo, our forces are minimal and our population is hungry and with low morale... Our duty as a failed state is to cede our power to the new Japanese imperial state. The shogun must abdicate and must leave the country forever. Long live the new and better Japanese state;x;
EVTOPTA50004;Glory to Japan;x;
EVTNAME50005;The Meiji Restoration;x;
EVTDESC50005;After the fall of Edo, the shogun forces are minimal and japanese people is hungry and with low morale... The destiny of the shogun is to cede his power to the new Imperial Japan. The shogun must abdicate and must leave the country forever. Long live the new and better Japanese state!;x;
EVTOPTA50005;Welcome to The Imperial Japan;x;
EVTNAME50007;The St. Petersburg Treaty;x;
EVTDESC50007;The efforts for the negotiation of the Kuril Islands and the island of Sakhalin by the Russian empire and ours have led to the fact that we can include half of these territories to our nation through an equitable treaty and without anyone obtaining more territory than the other.;x;
EVTOPTA50007;Accept the treaty;x;
EVTOPTB50007;Don't accept the treaty;x;
EVTNAME50100;The Death of Tsar Alexander III;x;
EVTDESC50100;Today, the people of The Russian Empire reunited today in St. Petersburg to see the coronation of the new Tsar of Russia. The chosen one to take this charge will be Nicholas II, that will reign Russia for a long time starting now. We are pleased of having this tsar nowadays, because most of monarchies nowadays are falling down and our country will be the exception... Long live to the new ruler of our country!;x;
EVTOPTA50100;Long live to Tsar Nicholas II of Russia!;x;
EVTNAME50200;The Oriental Crisis;x;
EVTDESC50200;In the preceding decades, Muhammad Ali had expanded and strengthened his hold on Ottoman territory, beginning with Egypt where he acted as a viceroy for the Sultan. Called upon to assist the Ottomans in the Greek War of Independence, Muhammad Ali in return demanded parts of Ottoman Syria to be transferred to his personal rule. When the war ended and the Porte failed to keep its promise, Muhammad Ali launched a military campaign against his Ottoman masters and easily took most of the Syrian lands.;x;
EVTOPTA50200;Raise the Egyptian flags!;x;
EVTNAME50201;Egypt Proclaims it's independence;x;
EVTDESC50201;Mohamed Ali has done his thing in Egypt and now he is about to proclaim his independence over us, this is due to the tolerance of our government in Egypt, allowing decisions to be made that a vassal like Egypt should not take alone, that is why we must restore the order in all provinces that were once Ottoman.;x;
EVTOPTA50201;We must restore order in Egypt;x;
EVTOPTB50201;Negotiate with them;x;
EVTNAME50202;The Ottoman Empire accepts our demands;x;
EVTDESC50202;After a long wait, we can finally proclaim our independence, of course, relative, since the Ottomans demand us to return the Middle Eastern territories to them... We can also reject their proposals, but we will risk losing a certain war with them;x;
EVTOPTA50202;Accept their demands;x;
EVTOPTB50202;Reject their demands;x;
EVTNAME50203;Egypt Refuses our demands!;x;
EVTDESC50203;The Egyptians have rejected our generous peace offer, this cannot be allowed and must be condemned. Egypt has only a few days of independence left and will soon return to being a vassal of our mighty and prosperous nation. Long live the Ottoman Empire;x;
EVTOPTA50203;Long live to the Ottoman Empire!;x;
EVTNAME50204;Egypt Surrenders!;x;
EVTDESC50204;In 1839, the Ottoman Empire attempted to retake Syria from Muhammad Ali but was defeated by his son, Ibrahim Pasha in the Battle of Nezib. Thus, a new war between Muhammad Ali and the Ottomans escalated, with the latter failing once again to wage it successfully. In June 1840, the entire Ottoman navy defected to Muhammad Ali, and the French planned to offer full support to his cause.;x;
EVTOPTA50204;A good day for our nation;x;
