Key;English;Spanish;German;Polish;French;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
NIP_reactionary;Imperial Faction;x;
NIP_conservative;Shogunate Faction;x;
IBE_conservative;Partido Democratico;x;
IBE_liberal;Partido Liberal;x;
IBE_conservative_2;Partido Restaurador;x;
IBE_reactionary;Partido Carlista-Etano;x;
IBE_liberal_2;Partido Liberlalista de Iberia;x;
IBE_liberal_3;Partido Republicano;x;
IBE_socialist;PSOE;x;
IBE_liberal_4;Ciudadanos;x;
IBE_liberal_5;Unidas Podemos;x;
IBE_communist;Partido Comunista de Iberia;x;
IBE_liberal_6;Esquerra Republicana de Catalunya;x;
IBE_conservative_3;PP;x;
IBE_liberal_7;Izquierda Unida;x;
IBE_conservative_4;VOX;x;
IBE_conservative_5;EH Bildu;x;
IBE_anarcho_liberal;PNV;x;
IBE_fascist;Partido Franquista;x;
AFR_conservative;Royal Faction;x;
AFR_liberal;People's Faction;x;
AFR_reactionary;Absolutist Faction;x;
AFR_anarcho_liberal;Rebel Faction;x;
AFR_socialist;Socialist Faction;x;
AFR_communist;Communist Faction;x;
AFR_fascist;Fascist Faction;x;
GNR_conservative;The Conservatives;x;
GNR_liberal;Liberal Party;x;
GNR_reactionary;Reactionary Party;x;
GNR_anarcho_liberal;RB Party;x;
GNR_socialist;Socialist Party;x;
GNR_communist;Communist Party;x;
GNR_fascist;Fascist Faction;x;
RGS_liberal;The Liberals;x;
RGS_conservative;Conservatives;x;
RGS_reactionary;Reactionaries;x;
RGS_anarcho_liberal;ALP;x;
RGS_socialist;PSRG;x;
RGS_communist;PCRG;x;
RGS_fascist;NSFP;x;
PBC_liberal_2;PLPB;x;
theocracy;Theocracy;x;
confederation;Confederation;x;
empire;Empire;x;
absolute_monarchy_2;Absolute Monarchy;x;
SNG_conservative;Imperialist Faction;x;
SNG_liberal;Influence Faction;x;
SNG_reactionary;Royal Faction;x;
SNG_anarcho_liberal;European Faction;x;
SNG_socialist;Worker's Party;x;
SNG_communist;People's Party;x;
SNG_fascist;Supremacists Faction;x;
